t,BLOOD_A.vol,BLOOD_A.pres,BLOOD_A.to2,BLOOD_A.tco2,BLOOD_A.temp,BLOOD_B.vol,BLOOD_B.pres,BLOOD_B.to2,BLOOD_B.tco2,BLOOD_B.temp,R_AB.flow,TVE_ISOLATED.vol,TVE_ISOLATED.pres,TVE_ISOLATED.el_min_eff,TVE_ISOLATED.el_max_eff
0.4305000000000003,0.07500436357612791,75.00440765265445,8,20,37,0.07499563642387211,74.99559234734556,5.3331781749326215,25.33364365013474,34.999883631199374,0.00008815305308885968,0.02,27.5,500,5000
0.44050000000000034,0.07500356899918774,75.0036050496846,8,20,37,0.07499643100081228,74.99639495031543,5.333206429545507,25.33358714090897,34.999904822159046,0.00007210099369160616,0.02,27.5,500,5000
0.45050000000000034,0.07500291910919593,75.0029485951474,8,20,37,0.07499708089080409,74.99705140485261,5.333229538744306,25.333540922511375,34.99992215405817,0.000058971902947888566,0.02,27.5,500,5000
0.46050000000000035,0.07500238755966296,75.00241167642723,8,20,37,0.07499761244033706,74.9975883235728,5.333248439620576,25.333503120758834,34.999936329715354,0.00004823352854430141,0.02,27.5,500,5000
0.47050000000000036,0.07500195280161225,75.00197252688105,8,20,37,0.07499804719838778,74.99802747311897,5.33326389857922,25.333472202841538,34.99994792393432,0.00003945053762080875,0.02,27.5,500,5000
0.48050000000000037,0.07500159720998642,75.00161334342062,8,20,37,0.0749984027900136,74.9983866565794,5.333276542435499,25.333446915128977,34.999957406826525,0.000032266868412165196,0.02,27.5,500,5000
0.4905000000000004,0.07500130636912868,75.00131956477644,8,20,37,0.07499869363087135,74.99868043522358,5.333286883844133,25.333426232311716,34.999965162882994,0.000026391295528611635,0.02,27.5,500,5000
0.5005000000000003,0.0750010684883734,75.00107928118526,8,20,37,0.07499893151162662,74.99892071881477,5.333295342094368,25.33340931581125,34.999971506570695,0.000021585623704822866,0.02,27.5,500,5000
0.5104999999999992,0.07500087392405334,75.00088275156904,8,20,37,0.07499912607594668,74.99911724843099,5.333302260116024,25.33339547976793,34.999976695086936,0.000017655031380456877,0.02,27.5,500,5000
0.5204999999999981,0.07500071478854616,75.00072200863248,8,20,37,0.07499928521145387,74.99927799136755,5.3333079183872485,25.333384163225485,34.999980938790365,0.00001444017264930153,0.02,27.5,500,5000
0.530499999999997,0.0750005846305108,75.00059053586949,8,20,37,0.07499941536948922,74.99940946413052,5.333312546308686,25.33337490738261,34.99998440973145,0.000011810717389693081,0.02,27.5,500,5000
0.5404999999999959,0.07500047817335073,75.00048300338457,8,20,37,0.07499952182664929,74.99951699661544,5.333316331505794,25.3333673369884,34.99998724862928,0.000009660067691328323,0.02,27.5,500,5000
0.5504999999999948,0.07500039110130094,75.00039505181913,8,20,37,0.07499960889869908,74.99960494818089,5.333319427436781,25.333361145126425,34.99998957057752,0.000007901036382378378,0.02,27.5,500,5000
0.5604999999999937,0.07500031988446736,75.00032311562359,8,20,37,0.07499968011553267,74.99967688437644,5.33332195961487,25.333356080770248,34.99999146971109,0.000006462312471455789,0.02,27.5,500,5000
0.5704999999999926,0.07500026163572507,75.00026427851017,8,20,37,0.07499973836427495,74.99973572148986,5.333324030697319,25.333351938605347,34.999993023022924,0.000005285570203170664,0.02,27.5,500,5000
0.5804999999999915,0.07500021399367465,75.00021615522692,8,20,37,0.07499978600632537,74.9997838447731,5.333325724647632,25.333348550704724,34.999994293485656,0.000004323104538173084,0.02,27.5,500,5000
0.5904999999999904,0.07500017502691111,75.00017679485971,8,20,37,0.07499982497308891,74.99982320514032,5.333327110139744,25.333345779720492,34.99999533260474,0.0000035358971939558616,0.02,27.5,500,5000
0.6004999999999893,0.07500014315572488,75.0001446017423,8,20,37,0.07499985684427514,74.99985539825772,5.333328243342286,25.333343513315416,34.999996182506635,0.0000028920348458427725,0.02,27.5,500,5000
0.6104999999999882,0.07500011708806054,75.00011827076821,8,20,37,0.07499988291193949,74.9998817292318,5.33332917019579,25.33334165960841,34.99999687764677,0.0000023654153640961794,0.02,27.5,500,5000
0.6204999999999871,0.07500009576713702,75.00009673448184,8,20,37,0.074999904232863,74.99990326551818,5.333329928275221,25.333340143449547,34.99999744620635,0.0000019346896365846077,0.02,27.5,500,5000
0.630499999999986,0.07500007832860577,75.0000791198038,8,20,37,0.07499992167139426,74.99992088019621,5.333330548313329,25.333338903373342,34.999997911234935,0.0000015823960758609702,0.02,27.5,500,5000
0.6404999999999849,0.07500006406551006,75.00006471263643,8,20,37,0.07499993593448996,74.9999352873636,5.333331055446584,25.33333788910684,34.99999829158487,0.0000012942527283144045,0.02,27.5,500,5000
0.6504999999999838,0.07500005239962514,75.00005292891427,8,20,37,0.07499994760037489,74.99994707108574,5.333331470234248,25.33333705953152,34.99999860267563,0.0000010585782852956526,0.02,27.5,500,5000
0.6604999999999827,0.07500004285801695,75.00004329092621,8,20,37,0.07499995714198307,74.9999567090738,5.333331809491861,25.33333638101629,34.99999885711885,8.658185241472438e-7,0.02,27.5,500,5000
